,Handle,Polarity,freq
1,@baggage,negative,52
2,@baggage,neutral,25
3,@baggage,positive,51
4,@bookings,negative,93
5,@bookings,neutral,64
6,@bookings,positive,149
7,@checkin,negative,2
8,@checkin,neutral,3
9,@checkin,positive,2
10,@easyJet,negative,493
11,@easyJet,neutral,231
12,@easyJet,positive,831
13,@flight,negative,353
14,@flight,neutral,124
15,@flight,positive,146
16,@schedule,negative,7
17,@schedule,neutral,8
18,@schedule,positive,10
19,@security,negative,5
20,@security,neutral,5
21,@security,positive,8
22,@services,negative,28
23,@services,neutral,19
24,@services,positive,34
25,@terminal,negative,1
26,@terminal,neutral,3
27,@terminal,positive,10
