"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","Polarity","Emotions","ProcessedText","Handle","DerivedDate","hhmmss","DayCat"
"1",1,"@MinisterForGin @British_Airways Agreed! Whatever you think about @easyJet it take just seconds to search and book.… https://t.co/M4Qv4kahZP",FALSE,0,"MinisterForGin","2018/01/13 16:34:00",TRUE,9.52e+17,9.52e+17,20347111,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alanbav1",0,FALSE,FALSE,NA,NA,"positive","joy","agreed whatever you think aboutit take just seconds to search and book…","@easyJet",2018-01-13 16:34:00,16:34:00,"Evening"
"2",2,"Beautiful morning to fly Gatwick to Alicante @easyJet https://t.co/8yvn2TIsGv",FALSE,1,NA,"2018/01/13 16:24:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","clintskeeey",0,FALSE,FALSE,NA,NA,"positive","joy","beautiful morning to fly gatwick to alicante","@easyJet",2018-01-13 16:24:00,16:24:00,"Evening"
"3",3,"@easyJet @easyJet_press another week has gone by with no response to either my tweet or my DMs. Ignoring complainan… https://t.co/Wj5yuk4rdy",FALSE,0,"easyJet","2018/01/13 17:51:00",TRUE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Robert_Dewar",0,FALSE,FALSE,NA,NA,"negative","unknown","another week has gone by with no response to either my tweet or my dms ignoring complainan…","@easyJet",2018-01-13 17:51:00,17:51:00,"Evening"
"4",4,"Just time travelled with @easyJet Took off at 5.55 land at Luton 5.45. Is the plane a delorean?",FALSE,0,NA,"2018/01/13 17:49:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_MarkMould",0,FALSE,FALSE,NA,NA,"positive","surprise","just time travelled withtook off atland at lutonis the plane a delorean","@easyJet",2018-01-13 17:49:00,17:49:00,"Evening"
"5",5,"@easyJet I could have taken a different flight at far higher cost to Easyjet, so your not reimbursing these costs is ridiculous",FALSE,0,"easyJet","2018/01/13 17:48:00",FALSE,9.52e+17,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShabadChawla",0,FALSE,FALSE,NA,NA,"negative","sadness","i could have taken a different flight at far higher cost to easyjet so your not reimbursing these costs is ridiculous","@easyJet",2018-01-13 17:48:00,17:48:00,"Evening"
"6",6,"@easyJet And if a passenger requires help doing this how should they go about receiving it? Still wondering about the security reasons?",FALSE,0,"easyJet","2018/01/13 17:48:00",FALSE,9.52e+17,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaitlynAdair",0,FALSE,FALSE,NA,NA,"neutral","surprise","and if a passenger requires help doing this how should they go about receiving it still wondering about the security reasons","@easyJet",2018-01-13 17:48:00,17:48:00,"Evening"
"7",7,"RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,"2018/01/13 17:48:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mauayako",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one  kissagingerday","@easyJet",2018-01-13 17:48:00,17:48:00,"Evening"
"8",8,"@easyJet  Do you know if you are going to take up the lost Monarch capacity ex Manchester  ? 

9 aircraft gone.

Must be an opportunity?",FALSE,0,"easyJet","2018/01/13 17:47:00",FALSE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LrdBlackAdder",0,FALSE,FALSE,NA,NA,"neutral","unknown","do you know if you are going to take up the lost monarch capacity ex manchester

 aircraft gone

must be an opportunity","@easyJet",2018-01-13 17:47:00,17:47:00,"Evening"
"9",9,"@easyjet stop fucking around and just let @RYAN_HAWAII get back home. Sat here clucking for me hoodie ffs",FALSE,0,"easyJet","2018/01/13 05:47:00",FALSE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lukeweighill",0,FALSE,FALSE,NA,NA,"negative","disgust","stop fucking around and just letget back home sat here clucking for me hoodie ffs","@easyJet",2018-01-13 05:47:00,05:47:00,"Morning"
"10",10,"@easyJet How about communicating this BEFORE rather than after? And you keep saying ""gesture of goodwill"", this is… https://t.co/jTx71nfp2B",FALSE,0,"easyJet","2018/01/13 17:46:00",TRUE,9.52e+17,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShabadChawla",0,FALSE,FALSE,NA,NA,"neutral","sadness","how about communicating this before rather than after and you keep saying gesture of goodwill this is…","@easyJet",2018-01-13 17:46:00,17:46:00,"Evening"
