"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","Polarity","Emotions","ProcessedText","Handle"
"1","@CaitlynAdair @easyJet If you can keep this going, just I'm sitting in tonight and struggling for entertainment.",FALSE,0,"CaitlynAdair",2018-01-13 18:03:54,FALSE,"952239321037361152","952239797946454018","193011797","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sjackson7390",0,FALSE,FALSE,NA,NA,"positive","unknown","if you can keep this going just im sitting in tonight and struggling for entertainment","@easyJet"
"2","@easyJet Not questioning the protocol, genuinely enquiring about how elderly/disabled/injured/pregnant lift bags if… https://t.co/sPcA5FdOML",FALSE,0,"easyJet",2018-01-13 18:02:00,TRUE,"952237925034610688","952239321037361152","38676903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaitlynAdair",0,FALSE,FALSE,NA,NA,"positive","joy","not questioning the protocol genuinely enquiring about how elderlydisabledinjuredpregnant lift bags if…","@easyJet"
"3","@easyJet @easyJet_press another week has gone by with no response to either my tweet or my DMs. Ignoring complainan… https://t.co/Wj5yuk4rdy",FALSE,0,"easyJet",2018-01-13 17:51:39,TRUE,NA,"952236714684186624","38676903","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Robert_Dewar",0,FALSE,FALSE,NA,NA,"positive","unknown","another week has gone by with no response to either my tweet or my dms ignoring complainan…","@easyJet"
"4","Just time travelled with @easyJet Took off at 5.55 land at Luton 5.45. Is the plane a delorean?",FALSE,0,NA,2018-01-13 17:49:18,FALSE,NA,"952236124633788418",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_MarkMould",0,FALSE,FALSE,NA,NA,"positive","unknown","just time travelled withtook off atland at lutonis the plane a delorean","@easyJet"
"5","@easyJet I could have taken a different flight at far higher cost to Easyjet, so your not reimbursing these costs is ridiculous",FALSE,0,"easyJet",2018-01-13 17:48:58,FALSE,"952228716905730049","952236039858458624","38676903","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShabadChawla",0,FALSE,FALSE,NA,NA,"negative","unknown","i could have taken a different flight at far higher cost to easyjet so your not reimbursing these costs is ridiculous","@easyJet"
"6","@easyJet And if a passenger requires help doing this how should they go about receiving it? Still wondering about the security reasons?",FALSE,0,"easyJet",2018-01-13 17:48:22,FALSE,"952232674445406209","952235890360946694","38676903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaitlynAdair",0,FALSE,FALSE,NA,NA,"positive","unknown","and if a passenger requires help doing this how should they go about receiving it still wondering about the security reasons","@easyJet"
"7","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 17:48:22,FALSE,NA,"952235889131966464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mauayako",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"8","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 17:48:16,FALSE,NA,"952235865769639936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FroukjeVisser",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"9","@easyJet  Do you know if you are going to take up the lost Monarch capacity ex Manchester  ? 

9 aircraft gone.

Must be an opportunity?",FALSE,0,"easyJet",2018-01-13 17:47:36,FALSE,NA,"952235695615160320","38676903","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LrdBlackAdder",0,FALSE,FALSE,NA,NA,"positive","unknown","do you know if you are going to take up the lost monarch capacity ex manchester

 aircraft gone

must be an opportunity","@easyJet"
"10","@easyjet stop fucking around and just let @RYAN_HAWAII get back home. Sat here clucking for me hoodie ffs",FALSE,0,"easyJet",2018-01-13 17:47:31,FALSE,NA,"952235677806137346","38676903","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lukeweighill",0,FALSE,FALSE,NA,NA,"positive","unknown","stop fucking around and just letget back home sat here clucking for me hoodie ffs","@easyJet"
