id,lon,lat,polarity
3,-4.2026458,56.4906712,positive
10,-0.2101088,51.4592791,positive
12,-3.435973,55.378051,negative
13,-0.3698672,51.8833989,positive
14,-0.1277583,51.5073509,negative
15,-0.1277583,51.5073509,neutral
16,-0.1277583,51.5073509,positive
17,-1.470085,53.381129,neutral
19,-74.0059728,40.7127753,negative
21,31.0593087,-29.7486837,neutral
23,-16.571534,28.2785654,negative
24,-3.435973,55.378051,positive
25,-2.58791,51.454513,neutral
26,-2.3142355,53.4958563,negative
27,-0.1277583,51.5073509,negative
28,-3.435973,55.378051,negative
31,-6.4923145,54.7877149,positive
33,-16.6291304,28.2915637,positive
37,-0.1277583,51.5073509,neutral
43,-0.8755515,52.2729944,negative
46,-1.206166,52.772099,positive
47,-84.471517,33.617017,positive
48,-3.188267,55.953252,negative
51,-3.188267,55.953252,positive
55,-5.1052179,56.819817,negative
59,-0.1277583,51.5073509,negative
61,-1.3080629,51.0576948,positive
62,-3.188267,55.953252,positive
63,7.2619532,43.7101728,positive
65,-5.93012,54.597285,neutral
67,5.34384,45.339389,positive
73,-3.435973,55.378051,negative
80,15.2551187,54.5259614,positive
83,-4.251806,55.864237,neutral
86,114.109497,22.396428,positive
87,-8.224454,39.399872,negative
89,126.9779692,37.566535,positive
93,-4.2026458,56.4906712,positive
94,16.3738189,48.2081743,positive
98,-2.9915726,53.4083714,positive
100,-0.196612,51.903761,positive
102,-0.1277583,51.5073509,neutral
103,-0.1277583,51.5073509,negative
107,-111.9400054,33.4255104,positive
108,-77.3294745,41.2588264,neutral
110,-97.3967019,35.4495065,negative
111,-4.251806,55.864237,positive
112,4.8901709,45.771944,positive
113,-5.93012,54.597285,positive
115,4.8951679,52.3702157,positive
116,-0.8755515,52.2729944,positive
117,-2.13125,49.214439,positive
118,174.323708,-35.7251117,positive
120,-0.75398,51.41604,neutral
121,-98.4170523,29.5170728,negative
128,-3.435973,55.378051,positive
129,-0.1277583,51.5073509,negative
130,-117.1610838,32.715738,positive
138,-0.4617075,50.9280143,positive
142,4.6201852,52.4049474,positive
143,-0.1277583,51.5073509,positive
144,-0.1277583,51.5073509,negative
146,3.7174243,51.0543422,neutral
147,-0.1325735,51.5090663,positive
148,9.2785583,40.8268383,positive
149,-0.1277583,51.5073509,positive
152,36.8219462,-1.2920659,neutral
156,8.227512,46.818188,positive
157,-0.1277583,51.5073509,neutral
160,-2.2426305,53.4807593,positive
161,-1.1743197,52.3555177,positive
162,-2.179404,53.002668,positive
165,10.451526,51.165691,positive
168,-7.4567959,56.9808838,positive
169,3.3792057,6.5243793,positive
171,0.4690888,51.7343313,positive
175,0.071827,51.266969,positive
178,5.2065473,52.6646778,positive
183,-1.1743197,52.3555177,positive
184,-5.93012,54.597285,positive
186,-1.61778,54.978252,negative
188,2.0832941,41.297445,positive
189,-0.1277583,51.5073509,neutral
190,5.7331074,58.9699756,positive
191,-81.3578859,41.1536674,negative
192,-3.0025615,16.7665887,neutral
193,-3.125908,52.075697,negative
198,-5.93012,54.597285,positive
