"","Polarity","Handle","Count"
"1","negative","@baggage",52
"2","negative","@bookings",93
"3","negative","@checkin",2
"4","negative","@easyJet",493
"5","negative","@flight",353
"6","negative","@schedule",7
"7","negative","@security",5
"8","negative","@services",28
"9","negative","@terminal",1
"10","neutral","@baggage",25
"11","neutral","@bookings",64
"12","neutral","@checkin",3
"13","neutral","@easyJet",231
"14","neutral","@flight",124
"15","neutral","@schedule",8
"16","neutral","@security",5
"17","neutral","@services",19
"18","neutral","@terminal",3
"19","positive","@baggage",51
"20","positive","@bookings",149
"21","positive","@checkin",2
"22","positive","@easyJet",831
"23","positive","@flight",146
"24","positive","@schedule",10
"25","positive","@security",8
"26","positive","@services",34
"27","positive","@terminal",10
